bairro,logradouro,n_transacoes,rs_m2_mediana
CIDADE BAIXA,Rua JOAQUIM NABUCO,68,4767
CIDADE BAIXA,Rua JOSE DO PATROCINIO,157,5310
CIDADE BAIXA,Rua LEAO XIII,10,3411
CIDADE BAIXA,Rua LOPO GONCALVES,81,5319
CIDADE BAIXA,Rua LUIZ AFONSO,101,5054
CIDADE BAIXA,Rua MIGUEL TEIXEIRA,13,5958
CIDADE BAIXA,Rua OCTAVIO CORREA,16,5862
CIDADE BAIXA,Rua SARMENTO LEITE,71,4735
CIDADE BAIXA,Rua SOFIA VELOSO,54,5270
CIDADE BAIXA,Travessa COMENDADOR BATISTA,21,5115
CIDADE BAIXA,Travessa DO  CARMO,11,4657
CIDADE BAIXA,Travessa DO CARMO,9,5392
COSTA E SILVA,Avenida BALTAZAR DE OLIVEIRA GARCIA,225,4296
COSTA E SILVA,Rua BRAILLE,6,2808
COSTA E SILVA,Rua CABO MARSCHNER,6,3667
COSTA E SILVA,Rua DO  PAMPA,8,4152
COSTA E SILVA,Rua JAIRO GONDIM DA SILVA,14,4513
COSTA E SILVA,Rua JOEL TABAJARA,3,2188
COSTA E SILVA,Rua LUIZ CARLOS ALMEIDA,3,5510
COSTA E SILVA,Rua LUIZ EURICO TEJERA LISBOA,3,2115
COSTA E SILVA,Rua PADRE CLEMENTE STEFFEN,3,4959
COSTA E SILVA,Rua SILVESTRE FELIX RODRIGUES,6,4168
COSTA E SILVA,Rua TEREZINHA TURCATO,19,5207
COSTA E SILVA,Rua TROPICAL,3,1694
COSTA E SILVA,Rua WALDEMAR LUIZ DE FREITAS FILHO,27,4953
COSTA E SILVA,Rua WALTER ERWIG FILHO,314,5503
CRISTAL,Avenida CAI,26,4593
CRISTAL,Avenida CAPIVARI,86,3683
CRISTAL,Avenida CHUI,42,3970
CRISTAL,Avenida DIARIO DE NOTICIAS,230,17663
CRISTAL,Avenida ICARAI,100,4341
CRISTAL,Avenida JACUI,79,3169
CRISTAL,Avenida PADRE CACIQUE,61,8257
CRISTAL,Avenida PINHEIRO BORDA,17,4278
CRISTAL,Avenida WENCESLAU ESCOBAR,22,2874
CRISTAL,Rua ANTONIO DA SILVA,15,3548
CRISTAL,Rua ARAPEI,3,2504
CRISTAL,Rua BUTUI,18,3314
CRISTAL,Rua CEL ARISTIDES,8,5501
CRISTAL,Rua CEL CLAUDINO,17,6276
CRISTAL,Rua CEL MASSOT,35,3801
CRISTAL,Rua CHICO PEDRO,42,3829
CRISTAL,Rua COMANDAI,4,2665
CRISTAL,Rua CURUPAITI,62,3999
CRISTAL,Rua DEZENOVE VILA CAMPOS DO CRISTAL-remov,4,13452
CRISTAL,Rua DIOMARIO MOOJEN,45,3490
CRISTAL,Rua DR CAMPOS VELHO,71,3514
CRISTAL,Rua DR RAUL MOREIRA,16,3479
CRISTAL,Rua GREGORIO DA FONSECA,4,3329
CRISTAL,Rua IBICUI,9,3581
CRISTAL,Rua INHANDUI,11,3802
